,opportunity_id,title,hits,summary,category_id,category_desc,org_title
143,5202,Seeds in the Middle - Volunteer Girls Soccer Coach ,97,Help elementary and middle school aged girls become stronger and healthier by volunteering your time as a soccer coach in an under-resourced Brooklyn community.,5.0,Health,Up2Us
144,5376,Find the Perfect Volunteer Job for You!,801,"VRC is a liaison between volunteers and the non-profit agencies that depend on volunteer support. We will help match your interests, skills, and schedule availability with a non-profit that needs your help.",1.0,Strengthening Communities,Volunteer Referral Center
145,5291,Photography and Art Opportunities,662,Our website would like to include the work of photographers and artists. A wide range of work is welcome that could enhance our site and help you gain exposure. Choose one or more of the following:,1.0,Strengthening Communities,Hearts and Minds
146,5730,Foster Care Recruiter,133,"Tracking with Excel, followup with foster parent, prescreen for foster care, mailing",2.0,Helping Neighbors in Need,Episcopal Social Services NYC
147,5704,Halloween Carnival Committee ,162,Take on leadership and organizational role in set up and execution of halloween carnival in park slope,1.0,Strengthening Communities,"The Puppetry Arts Theatre, Inc"
148,5180,Tree Care Workshop - Queens 4/9,165,"Help water and care for the 70,000 new street trees that have been planted across New York City! Join the MillionTreesNYC Stewardship Corps and help keep New York City GREEN by coming to a free MillionTreesNYC stewardship workshop",4.0,Environment,MillionTreesNYC
149,5596,Soup Kitchen Cook,150,"Coney Island Community Kitchen, all-volunteer Coney Island nonprofit, providing meals for low-income/under poverty line community members, seeks a part-time Soup Kitchen volunteer cook to prepare meals on Fridays. Must be certified, enjoy cooking and giving back to community.",2.0,Helping Neighbors in Need,Coney Island Lighthouse Mission
150,5674,Help Transform Lives and Strengthen Communities - Become a Mentor - 55+ Only  ,50,An RSVP mentor can make a difference in a child’s life and yours.,3.0,Education,Community Service Society/Retired & Senior Volunteer Program (RSVP)
151,5339,BeFitNYC Physical Activity Organizers,1522,Are you looking for ways to be more physically active? Want to help your community get moving?,5.0,Health,New York City Department of Health and Mental Hygiene
152,5294,Youth for Change & Seniors for Change Art Programs,367,"Work with groups, ages 6 - 16 and seniors. Help them learn and create artworks that raise public consciousness of the environment and other important issues.",1.0,Strengthening Communities,Hearts and Minds
153,5652,High School Goal Weekend,981,"High School Goal Weekend!  Saturday, September 24 and Sunday, September 25 9:00am - 3:00pm ~ Brooklyn Tech High School  This event provides 8th and 7th grade students in foster care additional support with the high school planning and application process.",3.0,Education,New York City Children's Services
154,5374,Dear Trevor Authors ,428,"""Dear Trevor"" is an online, non-time sensitive question and answer resource for young people with questions surrounding sexual orientation and gender identity.",2.0,Helping Neighbors in Need,The Trevor Project
155,4968,Computer Lab Teaching Assistant,114,The Computer Education Center at Lenox Hill Neighborhood House provides a supportive place for adults of all ages to learn how to use computers in ways that are meaningful to their lives.,1.0,Strengthening Communities,The Lenox Hill Neighborhood House
156,5529,Leadership and Community Activism Mentor,148,We are looking for volunteer Leadership and Community Activism Mentors for the Launch It! Summer Workshop program.,2.0,Helping Neighbors in Need,entrepreneurshipEDGE
157,5658,Saturday Tutors Needed!,362,"During GO School Saturday Tutorial Program, a professional teacher models a lesson, activity or project to a classroom of students.  Volunteer tutors continue to work with small groups of (2) to (4) students on the lesson providing individualized attention which allows the students to thrive.",3.0,Education,GO Project
158,5427,Online Marketing Plan for Professionals,26,"Online marketing may include social media marketing, search engine optimization, display advertising on partner sites, brand integration, email blasts, search engine marketing or message board communication.",1.0,Strengthening Communities,Catchafire
159,5659,YOUR PLANET: THE HUMAN MAPPING PROJECT,449,Artichoke Dance Company performs YOUR PLANET: THE HUMAN MAPPING PROJECT at the culmination of beach clean up days to celebrate the earth.,4.0,Environment,"Artichoke Dance Company, Inc."
161,5003,Eastern John Muir Volunteer Day,108,Restore the forest through invasive removal and tree planting as well as maintenance work along the trail itself,1.0,Strengthening Communities,Friends of Van Cortlandt Park
162,5064,Take a Stand Against Violence,28,Be a hero in the LGBTQ communities!   Volunteer with the NYC Gay and Lesbian Anti-Violence project.,1.0,Strengthening Communities,The New York City Anti-Violence Project
164,5751,General Support Volunteer,96,Ubuntu Education Fund seeks a volunteer to assist with all communications and fundraising activities in the New York City office,1.0,Strengthening Communities,Ubuntu Education Fund
165,5516,Health Services Office Assistant,465,Filing and other office duties,5.0,Health,Episcopal Social Services NYC
166,5157,Park Volunteer ,228,"Volunteer Day, March 26th 2011, from 9am to 12pm",1.0,Strengthening Communities,Stuyvesant Cove Park
168,5023,Bideawee Greeters,556,"Bideawee Greeters will welcome visitors to Bideawee's East 38th Street location when the veterinary practice is open and serve as an information resource, directory and ease visitor's transition into Bideawee's facilities.",1.0,Strengthening Communities,Bideawee  
169,5443,Press Kit for Professionals,38,"A press (or media) kit is a collection of compelling communications materials that provide important information about an organization, its mission, recent news, and accomplishments. A press kit can be easily distributed to members of the media or to other interested parties.",1.0,Strengthening Communities,Catchafire
170,5072,Be a Mentor.... Because Every Child Deserves a Chance!,244,Learn how you can directly make a positive impact on youth in Harlem!,3.0,Education,In Arms Reach Inc
171,5187,Volunteer with Storytelling in the Park-Queens,484,"Volunteer at Broad Channel Park in Queens.  Storytelling will take place on Friday mornings in July.  Volunteers will assist with crafts, games, snack distribution and face painting.",1.0,Strengthening Communities,New York City Department of Parks & Recreation
172,5114,Art Programming at Incarnation Children’s Center,230,We are looking for artists to do arts programming with middle school and high school age students at the Incatnation Children's Center.  ICC is a nursing facility for children who are HIV positive and living with physical and cognitive disabilities.  Position is from April 16 - 30.,1.0,Strengthening Communities,Artists Striving To End Poverty
173,5571,Girl Scout Series - Bronx ,183,"We are New York City’s largest girls-only youth and leadership development program where girls learn to lead with courage, confidence and character to make their communities and the world  a better place.",1.0,Strengthening Communities,Girl Scouts NYC
174,5492,Patient and Caregiver Support,528,Share meals with patients and caregivers that have travelled to NYC for medical treatment and are staying at the Miracle House facility.,2.0,Helping Neighbors in Need,Miracle House
175,5649,Arts Instructors,123,PAL Brownsville Beacon Center (BBC) seeks dedicated volunteer artists and educators to lead a family engagement arts-based project connecting parents and teens.,1.0,Strengthening Communities,Police Athletic League Of New York
176,5342,College Shower Fundraisers,45,Girls Inc of NYC is looking for volunteers to help distribute Boston Market fundraiser coupons to support its 12th Annual College Shower!,1.0,Strengthening Communities,Girls Incorporated Of New York City
177,5503,Lanch It! Summer Workshop Student/Volunteer,310,Get leadership & community organizing training and apply learning to launch a project. T.G.I. Friday's meal provided.,1.0,Strengthening Communities,entrepreneurshipEDGE
178,5017,Cents Ability Classroom Set-up,0,Help us set up a new training classroom to teach young adults personal finance!,1.0,Strengthening Communities,"Cents Ability, Inc."
179,5127,Neighborhood Profiles Coordinator,172,Big Apple Greeter is looking for a volunteer to coordinate the Neighborhood Information Profiles that appear on our website (www.bigapplegreeter.org).,1.0,Strengthening Communities,Big Apple Greeter
180,5538,Russian translator,30,Volunteer needed to translate written materials from English into Russian.,2.0,Helping Neighbors in Need,"Services for the UnderServed, Inc."
181,5409,Organizational Budget Design and Development for Professionals,73,"An operating budget provides an organization's leadership with focus to analyze key financial and strategic issues. Budget design and development involves all key stakeholders in the budgeting process, and helps an organization move from reactive to proactive, profitable money management.",1.0,Strengthening Communities,Catchafire
182,5130,Not-for-profit Volunteer opportunities with pioneer Capoeira arts organization (various positions),362,We are a family of volunteers who are passionate to spread Capoeira experience among the youth and community. We are proud to join the journey with Afro-Brazil-Arts to tell you how to love and be loved by Capoeira,1.0,Strengthening Communities,Afro Brazil Arts
183,5424,E-Newsletter Writing for Professionals,76,"An e-newsletter communicates recent developments, news and events to an organization's stakeholders. Timely and thoughtful e-newsletters provide a cost-effective way for an organization to engage supporters and donors while enhancing the organization's brand.",1.0,Strengthening Communities,Catchafire
184,5192,"Lead crafts, games, face painting and popcorn making in Queens!",616,"Volunteers are needed for Bayswater Park's Fall Festival on October 16, 2011.  Duties include crafts, games, face painting and popcorn making. This event will be held in Far Rockaway, Queens.",1.0,Strengthening Communities,New York City Department of Parks & Recreation
185,5671,Tutor,47,Help an adult with a developmental disability to fulfill his goal of passing his classes. He needs assistance with his remedial math and english classes.,2.0,Helping Neighbors in Need,"Services for the UnderServed, Inc."
186,5184,Volunteer at Haunted Lantern Tours at Fort Totten-Queens,590,"Volunteers are needed for a Haunted Lantern Tour in Fort Totten, Queens, in the following areas:singers, clowns, magicians, arts and crafts.",1.0,Strengthening Communities,New York City Department of Parks & Recreation
187,5042,Sunday Soup Kitchen Outreach Volunteers,1075,"Every Sunday at our outreach/information table, Cathedral Community Cares’ volunteers provide information and referrals to clients of the Sunday Soup Kitchen.",2.0,Helping Neighbors in Need,Cathedral Community Cares
188,5441,Event Sponsorship for Professionals,43,"Obtaining funding through corporate sponsorship is fundamental to the success of many events. However, securing corporate sponsorships for events can be challenging and skills involved are very different from those that work in organization’s everyday fundraising.",1.0,Strengthening Communities,Catchafire
189,5690,Concert Site Assistants Wanted ,372,The September Concert Foundation produces free concerts in NYC and needs stagehands to set-up and break-down. You would need to be available for a few hours on a day of the concert. It is a great opportunity to see a concert production from inside.,1.0,Strengthening Communities,September Concert
191,5121,Young Adult Tutor (Updated 3/30/11),465,"Change your life by changing someone else’s. Tutor young adult males in high school who are aging out of the foster care system. Are you reliable? Social? Do you have a positive attitude? If that was a resounding yes, then see full description...",3.0,Education,JBFCS
192,5223,Fly-by-Night Dance Theater - Volunteer Grant Writer for Youth Dance Program,64,"Fly-by-Night is in need of a grant writer or fund-raising person to help with securing funds for their after-school dance program at the Muscota New School, Manhattan.  Their program, free to participants , is focused on keeping students physically active as well as engaging them intellectually.",1.0,Strengthening Communities,Up2Us
193,5459,Volunteer at the Stop 'N' Swap,101,"Volunteers will help us keep things organized at this fun reuse event where people bring clean, working, portable items they no longer need to share with others. Bring your swimsuit and take a dip in the ocean when the event is over! Volunteers will also help set up and break down.",1.0,Strengthening Communities,Office of Recycling Outreach and Education
194,5635,Client Services and Welcome Desk,70,NYAWC is seeking a volunteer to support the efficient operations of the Client Services division.,2.0,Helping Neighbors in Need,New York Asian Women's Center
195,5380,Marketing Intern for Youth Programs Serving LGBT Youth,329,"Live Out Loud is a nonprofit organization that connects LGBT youth with positive, dynamic role models.  We are seeking a marketing intern who is also able to help develop and execute marketing strategies for our programs and events.",1.0,Strengthening Communities,Live Out Loud - Volunteers
196,5745,Manhattan/East 54st Rec. Center: Water Aerobics Instructor for Shape Up New York,20,"NYC Parks and Recreation seeks your participation to enrich our recreation facilities! Shape Up New York is a free fitness program for all ages and is looking for additional instructors at the East 54th st. Recreation Center (348 East 54th street, NY, NY, 10022), accessible by the E, M trains.",5.0,Health,New York City Department of Parks & Recreation
197,5486,Volunteer Videographer,175,"Big Apple Greeter is looking for a videographer to take videos during our two annual fundraisers, Greeter for a Day outings, and other special events as needed.",1.0,Strengthening Communities,Big Apple Greeter
198,5377,Mentors ,456,"Mentors are asked to meet with their students 4-6 times a year, and maintain monthly contact by phone or email.  SSP organizes events throughout the school year that mentors and students may attend together, or mentors may meet with students on their own – the commitment is flexible.",3.0,Education,Student Sponsor Partners
200,5617,Pantry Distribution,277,Volunteers help pack and distribute nutritious groceries to low-income families and individuals.,2.0,Helping Neighbors in Need,Yorkville Common Pantry
201,5004,Western John Muir Volunteer Day,100,Remove invasive plants and help native trees and shrubs.,1.0,Strengthening Communities,Friends of Van Cortlandt Park
202,5016,Urban Adventures - Ice Skating at Lasker Rink,62,"Please join us and the students from Mott Hall on Saturday, January 29th, for an ice skating trip to Lasker Lanes!",1.0,Strengthening Communities,Street Project
203,5037,Do You Enjoy Working on a Computer? --55+ Only,189,Do you want to help a public television station make sure it’s revenue comes through?  Become an accounting volunteer and help enter data and update their database.,1.0,Strengthening Communities,Community Service Society/Retired & Senior Volunteer Program (RSVP)
204,5731,MATH tutors needed!,156,Help 6th-8th graders conquer their fear of basic math with individualized tutoring and real-world examples. No prior experience is necessary but motivated volunteers (all ages) who want to help kids succeed are key!,3.0,Education,"Top Honors, Inc"
205,5213,Information Technology Support ,400,Provide IT and network support at community based organizations in New York City who are currently partnering with iGotITtoo.,1.0,Strengthening Communities,iGotITtoo
206,5512,Mentor,396,"When you make the commitment to become a mentor, you are making the decision to have a real impact on a young person's life.  Staff will guide you through recreation, enrichment, and academic activities through which you can share your skills, interests, and experiences with your mentee.",3.0,Education,"""I Have a Dream"" Foundation - NY: Ravenswood Program"
207,5410,Graphic Design for Professionals,74,"Print materials such as brochures, one-pagers, event invitations, flyers, and posters serve as valuable marketing tools. To put an organization's best messages forward, a designer combines copy content, photographs, brand, and logo together in a visually interesting and professional manner.",1.0,Strengthening Communities,Catchafire
208,5141,Mentor Homeless Youth,314,Mentor homeless children between the ages of 2 to 12 at our weekend enrichment program.,3.0,Education,Metropolitan Council on Jewish Poverty
209,5303,Shred Fest 2011!!,501,we are inviting all New Yorkers to protect their identity by bringing personal documents to be shredded for free at more locations than ever: 16 locations throughout the City. Shred Fest hours are from 10 am to 4 pm.  Shred Fest volunteers will be needed on-site from 9:30 am to 4:30 pm.,2.0,Helping Neighbors in Need,NYC Department Of Consumer Affairs Office Of Financial Empowerment
210,5600,"Volunteers Sought - School for Autistic, Douglaston Qns.",196,"We need help in our preschool building where we serve children with autism.  Building is in Douglaston, Queens and we need volunteers for Clerical/Administrative Duties & Cleaning.  QSAC is a non profit agency serving children with autism throughout NYC.  Please help us make a difference today!",3.0,Education,"QSAC, Inc. (Quality Services for the Autism Community)"
211,5176,Purim Envelope Stuffing,56,"Help is needed to stuff, seal and stamp approximately 15,000 envelopes, in preparation for the upcoming Purim holiday.",1.0,Strengthening Communities,MASBIA
212,5385,Be a Driver and Make a Difference - 55+ Only,105,Drivers needed to take individuals to medical appointments.  Very rewarding.  Some people are not able to go to their medical appointments without this assistance.,2.0,Helping Neighbors in Need,Community Service Society/Retired & Senior Volunteer Program (RSVP)
213,5332,Volunteers for a Children's Cancer Walk!,176,"Hope & Heroes is looking for volunteers for our walk on Saturday, May 21 in Riverside Park! To learn more about the walk please go to www.hopeandheroeswalk.org",1.0,Strengthening Communities,Hope & Heroes Children's Cancer Fund
214,5350,Decision Day 2011 Needs Your Help!!,61,"Groundwork, Inc. is hosting a Decision Day pep rally & barbeque in honor of our college bound students! The day also serves as an opportunity to advocate college enrollment throughout the community!",1.0,Strengthening Communities,"Groundwork, Inc."
215,4987,SNOW SHOVELING FOR SENIORS,91,Where to Turn is looking for student volunteers to shovel snow for senior citizens on Staten Islans,2.0,Helping Neighbors in Need,Where To Turn
216,5572,Girl Scout Series - Harlem ,217,"We are New York City’s largest girls-only youth and leadership development program where girls learn to lead with courage, confidence and character to make their communities and the world  a better place.",3.0,Education,Girl Scouts NYC
217,5478,Get the tools to volunteer for Recycling!,526,Recycling in the city has declined and we need YOU to help get NYC recycling again! Volunteers will work with OROE's borough-wide coordinators to teach New Yorkers to recycle more and waste less.,4.0,Environment,Office of Recycling Outreach and Education
218,5495,ESL Teacher Assistant,396,work closely with NYS licensed ESL teacher to provide instruction to recently arrived immigrants. Classes are in the mornings and evenings. Requires at least 4 hours per week commitment. Teaching experience not required.,3.0,Education,The HopeLine
219,5608,Nutrition Workshop for Seniors,196,"Metropolitan Council on Jewish Poverty is one of New York's largest human services agencies, providing more than 100,000 New Yorkers with critical services in their fight against poverty and its effects every year.",5.0,Health,Metropolitan Council on Jewish Poverty
220,5614,Administrative Assistant ,332,"Volunteers help by conducting adminstrative tasks, such as answering phones, conducting data entry and processing mailings.",1.0,Strengthening Communities,Dress for Success - Bronx Branch
222,5156,Community Clean Up at Asbury Cementary in Staten Island ,266,Clean up of abandoned cemetery on Staten Island,1.0,Strengthening Communities,Where To Turn
223,5152,Chinese Translator Needed,25,The New York City Coalition Against Hunger is seeking a Chinese translator to help with translation work for our “Guide(s) to Free Food & Assistance” (aka “Street Sheets” project).,2.0,Helping Neighbors in Need,New York City Coalition Against Hunger
224,5066,Volunteer Citizenship Tutor,297,Help us tutor Arab Immigrants applying for the US citizenship.  Small group or one-on-one tutoring Training and materials all provided  Requirements: 1) Two Hour weekly commitment 2) Cultural Sensitivity to Arab Immigrants,2.0,Helping Neighbors in Need,Arab American Association Of New York
225,5273,Fundraising Volunteer Opportunities,154,"Fundraising - foundations, direct mail, personal solicitation, business, government a0nd planned giving",1.0,Strengthening Communities,Hearts and Minds
226,5670,Run for the Wild ,494,"Make tracks for turtles in the WCS Run for the Wild at the New York Aquarium. This 5K-run and Family Fun Run takes place on the boardwalk at Coney Island on Sunday, October 9, and is dedicated to saving turtles",4.0,Environment,WCS
227,5569,Volunteers Needed in Bay Ridge/Benonhurst Area of Brooklyn to visit Homebound Seniors!,152,The Friendly Visiting Program needs volunteers to visit homebound seniors in the Bay Ridge/Bensonhurst area of Brooklyn.,2.0,Helping Neighbors in Need,Friendly Visiting at the JCCGCI
228,5729,Volunteer Instructors/Teachers/Mentors,141,"Currently looking for volunteer mentors and instructors who will work on a team to provide SAT test prep, writing and critical thinking instruction, mentoring, and college prep services.",3.0,Education,"Minds Matter of NYC, Inc."
229,5675,Arts Workshops Intern Needed,87,The HAI Arts Workshops department is looking for one intern to work 30 hours each week for the 2010-2011 academic year.,1.0,Strengthening Communities,Hospital Audiences Inc. (HAI)
230,5177,Movie screener for Seniors,583,A volunteer who can screen movies about nutrition and fitness for low-income seniors in Brooklyn.,5.0,Health,Metropolitan Council on Jewish Poverty
231,5475,Volunteers Needed for Senior Lunch Program!,54,"In celebration of Father's Day, we invite fathers and their son or daughter to volunteer at our Senior Lunch Program this Sunday, June 19th at 12pm.",2.0,Helping Neighbors in Need,Metropolitan Council on Jewish Poverty
232,5115,Administrative Support Volunteer,459,"Goal of Position: To help provide office assistance related to ongoing programs in the Special Projects Department Activities: Data entry, filing, research, report creation and analysis, official document editing",6.0,Emergency Preparedness,World Cares Center
234,5627,Gardening at Ft Tryon Park,74,Please join us at the Ft Tryon Park!  First time gardener's and those whom have never done any gardening work are welcome! Groups are welcome as well!  Please be prepared to be flexible and dress accordingly as we will be doing various gardening tasks.,1.0,Strengthening Communities,Street Project
235,5038,Help Feed Hungry New Yorkers --55+ Only,197,Volunteers needed to deliver meals to home bound individuals.  Meal delivery takes about an hour or two and your route can be close to your home or place of employment.,2.0,Helping Neighbors in Need,Community Service Society/Retired & Senior Volunteer Program (RSVP)
236,5261,Energy Efficiency Outreach,3533,"Chhaya CDC seeks volunteers to promote its exciting new program called Retrofit, Block by Block.  By linking eligible homeowners and tenants to free or low-cost home energy assessments and improvements, Chhaya will help New Yorkers save money on utility bills while greening our communities.",4.0,Environment,Chhaya Community Development Corporation
237,5100,Laser Tag with Harlem Dowling 175th Street ,0,"The kids and the Street Project volunteers will be enjoying a day of laser tag at the NYC Paintball and Laser Tag center over in Long Island City, Queens.",1.0,Strengthening Communities,Street Project
238,5272,"Seeking Research, Writing, and Editing Volunteers",316,"Research, writing and editing volunteers needed",1.0,Strengthening Communities,Hearts and Minds
239,5238,Volunteer Open House,274,This is an opportunity for adults and high school students to obtain information regarding volunteer opportunities in a hospital/healthcare environment,5.0,Health,Bellevue Hospital
240,5158,JASA Volunteer Art Teacher at Mill Basin Senior Center,173,Volunteer as little as one hour per week to work with our seniors on arts and crafts project.,2.0,Helping Neighbors in Need,Jewish Association for Services for the Aged (JASA)
241,5716,9th Annual West Side County Fair,84,"Enjoy a little country right here in Manhattan with live performances, carnival rides, a reptile show, and more at Summer on the Hudson’s 9th Annual West Side County Fair, a park-wide event on Saturday, September 10, from 1-6 pm.",1.0,Strengthening Communities,Summer on the Hudson
243,5119,Qualified Board Member Seats Available,276,"The WorldofMoney.org has a five year of a proven track record of delivering empowering financial and business education to underserved youth, ages 12 - 18.",1.0,Strengthening Communities,WorldofMoney.org
244,4993,JASA Van Cortlandt Day of Remembrance Volunteer,32,Help with MLK celebration event,1.0,Strengthening Communities,Jewish Association for Services for the Aged (JASA)
245,5277,Accounting Volunteer Opportunity,542,"The accounting intern/ volunteer will be exposed to a number of topics in the accounting discipline such as basic accounting and bookkeeping, cost-benefit analysis, reporting, socially-responsible investing.",1.0,Strengthening Communities,Hearts and Minds
246,5562,DOROT's 9/11 Day of Service and Rosh Hashanah Package Delivery!,523,Deliver a holiday package to a senior on the anniversary of 9/11.,2.0,Helping Neighbors in Need,DOROT
247,5584,Classroom Assistants,324,Assist teachers in an Early Head Start program.,3.0,Education,Episcopal Social Services NYC
248,5733,Teacher for ABE and Pre-GED students,62,A residential substance abuse treatment program needs a teacher for men and women ON-SITE at 2071 Fulton St. Brooklyn. Experience working with students at multiple levels is PREFERRED. Minimum three days a week. ..10-20 students.,2.0,Helping Neighbors in Need,"New York Therapeutic Communities, Inc."
249,5511,NYC Compost Project Master Composter Certificate Course,17,The NYC Compost Project Master Composter Certificate Course is a train-the-trainer program for persons interested in volunteering to advance on-site composting in NYC.,4.0,Environment,New York City Department of Sanitation
250,5560,9/11 Memorial Volunteers - A Mission of Honor & Hope,332,The 9/11 Memorial is seeking dedicated volunteers to support the Visitor Services staff and to play a vital role in providing a meaningful experience to visitors from around the world coming to one of the world’s foremost historical sites.,1.0,Strengthening Communities,NATIONAL SEPTEMBER 11 MEMORIAL & MUSEUM                                      
251,5155,Penny Harvest Run For Change!,204,Common Cents is recruiting volunteers to help with our first Annual Run for Change 5K Run/ Walk.,1.0,Strengthening Communities,Common Cents New York
252,5280,Soccer/Futsal Assistant Coach,173,"Our After School programs/clinics are designed to foster self-esteem & leadership skills. Skills Required: Experience playing/coaching soccer + an interest in working w/ children is a must! Futsal experience is a plus, but not necessary as we will educate you about the game and how to coach Futsal.",5.0,Health,New York Futsal
253,5782,Senior Alliance Registrar,18,ASA's Senior Alliance Senior Center is looking for volunteer registrars to assist with the greeting and registering of our members for daily lunch and classes. Volunteers should be mature and organized. We look forward to hearing from you!,2.0,Helping Neighbors in Need,Jewish Association for Services for the Aged (JASA)
254,5458,Transportation Alternatives Bike Ambassador Data Entry Volunteers,305,"As we collect the names of thousands of safe street supporters all summer long, we need help entering them in our database.  Our office has a fun, welcoming staff, and a fridge stocked with cold drinks! Come help us make NYC the bike friendly city of your dreams!",3.0,Education,Transportation Alternatives
255,4960,"Mentors, Register to Attend A Breakfast Orientation January 24, 2011",35,Attend a Breakfast Orientation to learn more about  rewarding opportunities to mentor youth ages 6 to 18.  You must be age 55+ and become a member of the Retired & Senior Volunteer Program (RSVP).,1.0,Strengthening Communities,Community Service Society/Retired & Senior Volunteer Program (RSVP)
256,5058,Does your organization need an intern?,181,The International High School @ Prospect Heights is currently seeking to provide un-paid assistance to local businesses and organizations from March - June 2011.,3.0,Education,The International High School @ Prospect Heights
257,5362,Help Build a Plastic Bottle Sculpture,77,Help build a sculpture from plastic bottles to raise recycling awareness and promote the high quality of  NYC Water.,1.0,Strengthening Communities,Office of Recycling Outreach and Education
259,5736,Paint and beautify a transitional residence for homeless men & women,294,Beautify a transitional housing residence for 75 homeless men and women. We are painting the interior walls of this residence. No experience needed!,1.0,Strengthening Communities,"Services for the UnderServed, Inc."
260,4998,Stipend After School Program Mentor Opportunity,1060,"Help a child in need! We need mentors to help fraught Bushwick and Bedford - Stuyvesant students ages 5 -13 attain educational achievement. We also offer $125.00 - $250.00 to any volunteer who volunteers for a full month, Monday through Friday for at least 3 hours a day.",3.0,Education,Children's Choice Family Services
261,5467,"Seeds for Success: Plant for today, Growth for tomorrow",383,"Come join Heel Your Sole to revitalize the Leake and Watts Biondi School campus! We will work together to plant flowers, veggies, and spruce up the living space that houses over 60 kids at the Residential Treatment Center year round.",1.0,Strengthening Communities,Heel Your Sole
262,4999,FVCP Trail Restoration Crew,179,"Want to learn useful skills about trails planning and maintenance, while making a significant impact to the quality of Van Cortlandt Park? No prior trails experience is necessary; all training will be offered in an on-the-job format.",1.0,Strengthening Communities,Friends of Van Cortlandt Park
263,5656,Care To Share Volunteer Manager ,155,Care to Share is a volunteer project to 'donate' fresh fruits and vegetables. CSA shareholders will donate a portion of their share between 10/8/11 - 10/18/11 to the CSA's local food pantry. Volunteer managers will help to manage the program.,2.0,Helping Neighbors in Need,FEGS
264,5781,Literacy Tutor,38,Help students acquire basic English/Language Arts Skills.,3.0,Education,Mosaic Preparatory Academy
265,5128,After school program volunteer,466,"We have 14 students in our after school program, ages 7 to 14. Volunteers will help the kids finish all their homework before they go home, assign extra classwork when they are finished and lead students in extracurricular activities.",3.0,Education,WisdomLand After School and Summer Day Camp
266,5706,Kitchen Aide for JASA Scheuer House,69,Come help out the kitchen staff at our Scheuer House Senior Center!,2.0,Helping Neighbors in Need,Jewish Association for Services for the Aged (JASA)
267,5698,Sara D Roosevelt Park Cleanup/Beautification Project,240,"We will be doing a renovation/beautification project on the Oval Track Area directly behind the Sara Delano Roosevelt HQ Park House.  Where: 102 Hester Street, NYC, NY 10002 When: Saturday, September 10th from 11am to 1pm",1.0,Strengthening Communities,Pace University Community & Volunteer Mobilization AmeriCorps
268,5594,American Cancer Society’s Making Strides Against Breast Cancer Walk Pre-Event Support!,174,"More than 250 Making Strides walks are held nationwide each year to celebrate people who have battled breast cancer, educate people about ways to reduce their risk, and empower communities to join the fight.  The Manhattan Walk in Central Park is on October 16th, 2011.",1.0,Strengthening Communities,American Cancer Society-Making Strides Against Breast Cancer
269,5755,Volunteer for Jumpstart's Readers Program!,129,"Volunteer in an under-served pre-school for one hour, once a week for 10 weeks with our Readers Program!  You will be trained to use our research based curriculum and make a real impact on a child's life!",3.0,Education,Jumpstart for Young Children
270,5085,CLARO Brooklyn Volunteer Attorney,4407,"Provide legal advice, information and resources to individuals facing consumer debt cases in Kings County Civil Court.  Use your legal skills to give self-represented litigants the tools they need to effectively represent themselves in civil court.",2.0,Helping Neighbors in Need,"Brooklyn Bar Association Volunteer Lawyers Project, Inc."
271,5601,Americorps ACES Economic Security Initiative (ESI) Coordinator,189,"Lenox Hill Neighborhood House, widely recognized as one of New York's premier human services providers, is a 117-year-old settlement house that provides an extensive array of effective and integrated services.",1.0,Strengthening Communities,The Lenox Hill Neighborhood House
272,5316,Be the Change. Become a Mentor! ,324,Join over a thousand professionals in NYC who mentor iMentor teens from underserved communities. Most of them had never served as mentors before joining but iMentor’s flexible and supportive mentoring model gave them the opportunity and confidence to try.,3.0,Education,iMentor
273,5397,Skilled volunteers to help Rebuilding Together home repairs,566,Skilled volunteers to help Rebuilding Together with home repairs.,2.0,Helping Neighbors in Need,Rebuilding Together NYC
274,5253,Volunteer for Earth Day Events,1396,"Please volunteer for Earth Day events on April 21st, 22nd, or 23rd.",4.0,Environment,Earth Day New York
275,5094,Street Vendor Project - Join Our Monthly Outreach Team!,274,"Share information with NYC's street vendors about their rights and responsibilities. Get to know another dimension the city,",1.0,Strengthening Communities,Street Vendor Project
276,5097,Finance Assistant,409,"ARTs East New York is looking for open-minded, motivated volunteers with an interest in the arts and community development to further the mission of our organization. Volunteers should have strong work ethic and willingness to explore the idea of using the arts as a tool for change.",1.0,Strengthening Communities,ARTs East New York Inc.
277,4971,Design Education Volunteer Opportunities,438,"Volunteering at the Center for Architecture Foundation is a great way to contribute to the community, learn new skills, and have fun! We have volunteer opportunities to suit every interest.",1.0,Strengthening Communities,Center for Architecture Foundation
278,5312,Street Games in Harlem's Thomas Jefferson Park,57,"Street Games is an event that brings thousands of kids and adults alike out to learn (or relive) some of the classic street games from the 60’s and 70’s and reintroduce them to a new generation with a modern twist! Held in Thomas Jefferson Park on Saturday, May 7th from 11:00 a.m. to 3:00 p.m.",5.0,Health,New York City Department of Parks & Recreation
279,5229,Volunteer at an Art Gallery Dedication,10,"This dedication is of the Nottage Community Art Gallery for Ruby Nottage, the mother of famed playwright, Lynn Nottage.",1.0,Strengthening Communities,YWCA of Brooklyn
280,5448,Social Media Campaign for Professionals,58,"A social media campaign is a focused marketing push toward an organization's goal, whether it's boosting attendance at an event, fundraising for a specific project, or spreading awareness about a program or issue.",1.0,Strengthening Communities,Catchafire
